USPS	GEOID	ANSICODE	NAME	FUNCSTAT	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                      
VT	5000100325	01462023	Addison town	A	107710362	19168382	41.587	7.401	44.058539	-73.332315                                                                                                              
VT	5000108575	01462051	Bridport town	A	113158876	6686784	43.691	2.582	43.981724	-73.331937                                                                                                              
VT	5000109025	01462053	Bristol town	A	105018080	1711027	40.548	0.661	44.09824	-73.049182                                                                                                                
VT	5000116000	01462076	Cornwall town	A	73990774	439832	28.568	0.17	43.962918	-73.217701                                                                                                                 
VT	5000126300	01462098	Ferrisburgh town	A	122981523	35540139	47.483	13.722	44.203133	-73.279196                                                                                                         
VT	5000128600	01462104	Goshen town	A	53303535	419568	20.581	0.162	43.864747	-72.990112                                                                                                                  
VT	5000129575	01462108	Granville town	A	131792676	253918	50.885	0.098	44.005291	-72.841314                                                                                                              
VT	5000131525	01462114	Hancock town	A	99657749	278253	38.478	0.107	43.905404	-72.918236                                                                                                                 
VT	5000139325	01462132	Leicester town	A	53966710	2413324	20.837	0.932	43.874528	-73.099749                                                                                                              
VT	5000140075	01462135	Lincoln town	A	118130903	493295	45.611	0.19	44.092925	-72.973521                                                                                                                 
VT	5000144350	01462146	Middlebury town	A	101608654	1021344	39.231	0.394	44.0019	-73.119047                                                                                                              
VT	5000145550	01462150	Monkton town	A	92963472	973113	35.893	0.376	44.22704	-73.131721                                                                                                                  
VT	5000148700	01462160	New Haven town	A	106590692	907385	41.155	0.35	44.104981	-73.165757                                                                                                               
VT	5000153725	01462168	Orwell town	A	122300017	6477287	47.22	2.501	43.809099	-73.277992                                                                                                                 
VT	5000153950	01462169	Panton town	A	40092401	16973162	15.48	6.553	44.130418	-73.340191                                                                                                                 
VT	5000159650	01462187	Ripton town	A	127650280	421512	49.286	0.163	43.984937	-72.996775                                                                                                                 
VT	5000162575	01462200	Salisbury town	A	74956495	2998466	28.941	1.158	43.925495	-73.111528                                                                                                              
